Adina / Edad;Kasu positiboak / Positivos;Emakumezkoak: Kasu positiboak / Mujeres: Positivos;Gizonezkoak: Kasu positiboak / Hombres: Positivos;Biztanleria 2019 / Población 2019;Emakumezkoak: Biztanleria 2019 / Emakumezkoak: Población 2019;Gizonezkoak: Biztanleria 2019 / Gizonezkoak: Población 2019;100.000 biztanleko tasa  / Tasa por 100.000 habitantes;Emakumezkoak: 100.000 biztanleko tasa  / Mujeres: Tasa por 100.000 habitantes;Gizonezkoak: 100.000 biztanleko tasa  / Hombres: Tasa por 100.000 habitantes;Kasuen guztien gaineko % / % sobre el total de los casos;Hildakoak / Fallecidos(*);Emakumezkoak: Hildakoak / Mujeres: Fallecidos;Gizonezkoak: Hildakoak / Hombres: Fallecidos;Hilgarritasuna / Letalidad;Emakumezkoak: Hilgarritasuna / Letalidad;Gizonezkoak: Hilgarritasuna / Letalidad;
0 - 9 ;12299;6066;6233;190667;93085;97582;6450,513198;6516,62459;6387,448505;0,068772507;1;0;1;0,00008131;0;0,00024534;
10-19;20063;9741;10321;210862;101692;109170;9514,753725;9578,924596;9454,062471;0,112186584;0;0;0;0;0;0;
20 - 29 ;20798;10764;10030;199866;98373;101493;10405,972;10942,02678;9882,454948;0,116296495;3;1;2;0,00014424;0,0001173;0,00026031;
30 - 39 ;21843;11862;9975;258272;128980;129292;8457,36278;9196,774694;7715,094515;0,122139838;12;5;7;0,00054938;0,00054413;0,00092838;
40 - 49 ;29434;15508;13924;358698;177352;181346;8205,788714;8744,192341;7678,14013;0,164586549;35;11;24;0,001189101;0,00093897;0,002338953;
50 - 59 ;27696;14580;13112;336769;170989;165780;8224,034873;8526,864301;7909,277356;0,154868147;87;34;53;0,003141248;0,002985599;0,005404303;
60 - 69 ;17754;8769;8976;277319;145053;132266;6402,013566;6045,376518;6786,324528;0,099275314;300;86;214;0,016897601;0,01261552;0,031045989;
70 - 79 ;11711;5926;5785;210914;115791;95123;5552,500071;5117,841628;6081,599613;0,065484578;747;242;505;0,063786184;0,052585832;0,110818521;
80 - 89 ;9800;6043;3756;124844;77854;46990;7849,796546;7761,964703;7993,19004;0,05479881;1701;817;884;0,173571429;0,158609979;0,281349459;
Más de 90 edo gehiago;4281;3246;1035;31500;23326;8174;13590,47619;13915,80211;12662,09934;0,023938133;1177;804;373;0,274935763;0,276859504;0,419101124;
No consta;3157;1666;1476;;;;;;;0,017653045;;;;;;;
GUZTIRA / TOTAL;178836;94171;84623;2199711;1132495;1067216;8129,977074;8315,356801;7929,322649;1;4088;2018;2070;0,022858932;0,027899132;0,032818594;
(*) Laborategiak proba azkarren lote bat errepasatu behar izan du aurrez emandako emaitza batzuk zuzendu eta egiaztatuz. Ondorioz, emaitza horiei zegozkien datu batzuk zuzendu dira. ;;;;;;;;;;;;;;;;;
(*) Se han corregido datos relativos a los test rápidos debido a que el laboratorio ha revisado un lote de pruebas rápidas corrigiendo y validando algunos resultados previos.;;;;;;;;;;;;;;;;;
(*) Hildakoen kopurua agian ez dator bat egunen batean ospitaleetatik eta egoitzetatik datozen datuekin, bi informazio-sistemen artean dekalaje bat dagoelako, eta dekalaje hori hurrengo egunetan zuzenduko da.;;;;;;;;;;;;;;;;;
(*) El número de fallecidos puede que algún día no coincida con los datos que provienen de los hospitales y residencias  porque existe un decalaje entre ambos sistemas de información que se corregirá en días posteriores.;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
(*) 2021/04/11 (Ultima actualización / Azken eguneratzea);;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
