2021/04/11(Ultima actualización / Azken eguneratzea);
Udalerria / Municipio;Positiboak/Positivos;Biztanleak/Población;Tasa 100.000 biztanleko/Tasa por 100.000 habitantes;Hildakoak/Fallecidos;Hilkortasuna/Fatalidad;
ABADIÑO;506;7754;6525,7;6;1,2;;;;
ABANTO Y CIERVANA-ABANTO ZIERB;638;9501;6715,1;15;2,4;;;;
ADUNA;36;483;7453,4;2;5,6;;;;
SALVATIERRA/AGURAIN;420;5353;7846,1;16;3,8;;;;
AIA;147;1985;7405,5;2;1,4;;;;
AIZARNAZABAL;109;769;14174,3;1;0,9;;;;
AJANGIZ;25;440;5681,8;1;4,0;;;;
ALBIZTUR;25;293;8532,4;0;0,0;;;;
ALEGIA;187;1798;10400,4;2;1,1;;;;
ALEGRIA-DULANTZI;175;3140;5573,2;5;2,9;;;;
ALKIZA;20;350;5714,3;0;0,0;;;;
ALONSOTEGI;182;2822;6449,3;2;1,1;;;;
ALTZAGA;5;183;2732,2;0;0,0;;;;
ALTZO;26;390;6666,7;1;3,8;;;;
AMEZKETA;98;920;10652,2;2;2,0;;;;
AMOREBIETA-ETXANO;1514;19290;7848,6;30;2,0;;;;
AMURRIO;438;10330;4240,1;9;2,1;;;;
ANDOAIN;1098;14988;7325,9;20;1,8;;;;
ANOETA;164;2030;8078,8;2;1,2;;;;
ANTZUOLA;209;2179;9591,6;1;0,5;;;;
ARAMA;18;204;8823,5;0;0,0;;;;
ARAMAIO;138;1480;9324,3;1;0,7;;;;
ARANTZAZU;22;388;5670,1;0;0,0;;;;
AREATZA;70;1230;5691,1;0;0,0;;;;
ARETXABALETA;655;7080;9251,4;19;2,9;;;;
ARMIÑON;19;223;8520,2;0;0,0;;;;
ARRAIA-MAEZTU;30;732;4098,4;0;0,0;;;;
ARRANKUDIAGA;44;1018;4322,2;1;2,3;;;;
ARRASATE/MONDRAGON;2734;22082;12381,1;79;2,9;;;;
ARRATZUA-UBARRUNDIA;69;1035;6666,7;2;2,9;;;;
ARRIETA;26;563;4618,1;0;0,0;;;;
ARRIGORRIAGA;947;11943;7929,3;23;2,4;;;;
ARTEA;29;721;4022,2;2;6,9;;;;
ARTZENTALES;46;671;6855,4;1;2,2;;;;
ARTZINIEGA;116;1911;6070,1;2;1,7;;;;
ASPARRENA;135;1616;8354,0;2;1,5;;;;
ASTEASU;95;1560;6089,7;0;0,0;;;;
ASTIGARRAGA;440;6674;6592,7;1;0,2;;;;
ATAUN;169;1747;9673,7;1;0,6;;;;
ATXONDO;98;1385;7075,8;2;2,0;;;;
AULESTI;67;668;10029,9;3;4,5;;;;
AYALA/AIARA;186;2895;6424,9;2;1,1;;;;
AZKOITIA;1082;11983;9029,5;9;0,8;;;;
AZPEITIA;1626;15220;10683,3;8;0,5;;;;
BAKIO;152;2627;5786,1;8;5,3;;;;
BALMASEDA;511;7638;6690,2;30;5,9;;;;
BAÑOS DE EBRO/MAÑUETA;12;321;3738,3;1;8,3;;;;
BARAKALDO;7856;99000;7935,4;189;2,4;;;;
BARRIKA;109;1531;7119,5;4;3,7;;;;
BARRUNDIA;47;941;4994,7;0;0,0;;;;
BASAURI;2886;40969;7044,4;103;3,6;;;;
BEASAIN;1454;14021;10370,2;30;2,1;;;;
BEDIA;52;1049;4957,1;1;1,9;;;;
BELAUNTZA;11;261;4214,6;0;0,0;;;;
BERANGO;475;7265;6538,2;0;0,0;;;;
BERANTEVILLA;49;499;9819,6;3;6,1;;;;
BERASTEGI;95;1052;9030,4;0;0,0;;;;
BERGARA;1398;15036;9297,7;37;2,6;;;;
BERMEO;1170;16910;6919,0;24;2,1;;;;
BERNEDO;14;530;2641,5;0;0,0;;;;
BERRIATUA;142;1257;11296,7;0;0,0;;;;
BERRIZ;399;4662;8558,6;9;2,3;;;;
BIDANIA-GOIATZ;42;560;7500,0;1;2,4;;;;
BILBAO;32078;346478;9258,3;910;2,8;;;;
VILLABONA;502;5917;8484,0;2;0,4;;;;
BUSTURIA;95;1622;5857,0;7;7,4;;;;
CAMPEZO/KANPEZU;56;1061;5278,0;3;5,4;;;;
DEBA;501;5453;9187,6;11;2,2;;;;
DERIO;495;6569;7535,4;4;0,8;;;;
DIMA;98;1438;6815,0;6;6,1;;;;
DONOSTIA / SAN SEBASTIAN;13922;182391;7633,1;360;2,6;;;;
DURANGO;2528;29762;8494,1;42;1,7;;;;
EIBAR;3008;27474;10948,5;79;2,6;;;;
ELANTXOBE;29;357;8123,2;0;0,0;;;;
ELBURGO/BURGELU;28;637;4395,6;1;3,6;;;;
ELCIEGO;79;1035;7632,9;1;1,3;;;;
ELGETA;51;1131;4509,3;1;2,0;;;;
ELGOIBAR;1106;11540;9584,1;12;1,1;;;;
ELORRIO;483;7448;6485,0;7;1,4;;;;
ELVILLAR/BILAR;28;352;7954,5;0;0,0;;;;
ERANDIO;1883;24433;7706,8;36;1,9;;;;
EREÑO;6;276;2173,9;0;0,0;;;;
ERMUA;1770;16019;11049,4;41;2,3;;;;
ERRENTERIA;2778;40176;6914,6;59;2,1;;;;
ERREZIL;78;621;12560,4;2;2,6;;;;
ERRIBERAGOITIA/RIBERA ALTA;45;830;5421,7;0;0,0;;;;
ERRIGOITI;25;490;5102,0;0;0,0;;;;
ESKORIATZA;317;4103;7726,1;7;2,2;;;;
ETXEBARRI;703;11460;6134,4;13;1,8;;;;
ETXEBARRIA;64;745;8590,6;1;1,6;;;;
EZKIO-ITSASO;33;634;5205,0;0;0,0;;;;
FORUA;63;904;6969,0;8;12,7;;;;
FRUIZ;40;559;7155,6;0;0,0;;;;
GALDAKAO;1945;29493;6594,8;48;2,5;;;;
GALDAMES;69;844;8175,4;0;0,0;;;;
GAMIZ-FIKA;96;1361;7053,6;2;2,1;;;;
