2021/04/11(Ultima actualización / Azken eguneratzea);
Osasun-eremuaren kodea / Código zona de salud;Osasun-eremuak/Zonas de salud;Positiboak/Positivos;TISak guztira/Total de TIS;Tasa 100.000 biztanleko/Tasa por 100.000 habitantes;Hildakoak/Fallecidos;Hilkortasuna/Mortalidad;
2501;ABADIÑO-ELORRIO-BERRIZ;1798;24149;7445,4;29;1,6;
2101;ABANTO-MUSKIZ;1280;17001;7529,0;37;2,9;
1101;ABETXUKO;330;3811;8659,1;19;5,8;
2502;AIALA;960;19208;4997,9;17;1,8;
9999;AIETE;218;12466;1748,8;1;0,5;
2401;ALANGO;1492;19675;7583,2;31;2,1;
3401;ALEGIA;670;6715;9977,7;9;1,3;
2402;ALGORTA;2367;33158;7138,5;53;2,2;
3501;ALZA-ROTETA;1237;19595;6312,8;47;3,8;
3502;AMARA BERRI;2395;32503;7368,6;50;2,1;
3503;AMARA CENTRO;1398;13615;10268,1;39;2,8;
2503;AMOREBIETA;1504;19847;7578,0;33;2,2;
3402;ANDOAIN;1101;15380;7158,6;20;1,8;
1102;ARANBIZKARRA I;1266;15105;8381,3;32;2,5;
1103;ARANBIZKARRA II;1001;12338;8113,1;23;2,3;
3201;ARRASATE;2911;25125;11586,1;82;2,8;
2504;ARRATIA;764;13743;5559,2;13;1,7;
2505;ARRIGORRIAGA;1145;15816;7239,5;32;2,8;
2403;ASTRABUDUA;722;10480;6889,3;15;2,1;
3301;AZKOITIA;1085;11996;9044,7;9;0,8;
3302;AZPEITIA;1710;16695;10242,6;11;0,6;
2102;BALMASEDA;785;11752;6679,7;42;5,4;
2507;BASAURI-ARIZ;1896;26603;7127,0;72;3,8;
2506;BASAURI-KAREAGA;1032;15304;6743,3;33;3,2;
2301;BASURTO;1969;21232;9273,7;51;2,6;
3303;BEASAIN;2088;22660;9214,5;37;1,8;
2302;BEGOÑA;965;13062;7387,8;22;2,3;
3504;BERAUN-ERRENTERIA;985;15212;6475,2;16;1,6;
3202;BERGARA;1641;18104;9064,3;39;2,4;
2508;BERMEO;1305;19107;6830,0;34;2,6;
3505;BIDEBIETA;489;7207;6785,1;11;2,2;
2304;BOLUETA-SAGARMINAGA;825;9713;8493,8;10;1,2;
2305;BOMBERO ETXANIZ;4669;38279;12197,3;94;2,0;
2306;CASCO VIEJO (BILBAO);1254;13151;9535,4;55;4,4;
1105;CASCO VIEJO (VITORIA-GASTEIZ);1596;18372;8687,1;52;3,3;
3101;DEBA;827;10731;7706,6;14;1,7;
2307;DEUSTO;2302;25840;8908,7;47;2,0;
3602;DUMBOA;1643;30187;5442,7;22;1,3;
2509;DURANGO;2875;34964;8222,7;48;1,7;
3506;EGIA;1091;14786;7378,6;22;2,0;
3102;EIBAR;2022;19494;10372,4;52;2,6;
3103;ELGOIBAR;1574;18183;8656,4;16;1,0;
