2021/04/11(Ultima actualización / Azken eguneratzea);;
Hildako kasu positiboak Euskadin heriotza dataren arabera / Casos positivos fallecidos en Euskadi por fecha de fallecimiento;;
Data / Fecha;Hildakoak / Fallecidos;
2020/03/01;0;
2020/03/02;0;
2020/03/03;0;
2020/03/04;1;
2020/03/05;0;
2020/03/06;0;
2020/03/07;2;
2020/03/08;2;
2020/03/09;1;
2020/03/10;1;
2020/03/11;5;
2020/03/12;4;
2020/03/13;5;
2020/03/14;5;
2020/03/15;11;
2020/03/16;5;
2020/03/17;11;
2020/03/18;19;
2020/03/19;17;
2020/03/20;16;
2020/03/21;21;
2020/03/22;22;
2020/03/23;18;
2020/03/24;24;
2020/03/25;34;
2020/03/26;27;
2020/03/27;30;
2020/03/28;39;
2020/03/29;39;
2020/03/30;35;
2020/03/31;38;
2020/04/01;45;
2020/04/02;31;
2020/04/03;49;
2020/04/04;51;
2020/04/05;45;
2020/04/06;44;
2020/04/07;42;
2020/04/08;40;
2020/04/09;51;
2020/04/10;34;
2020/04/11;41;
2020/04/12;34;
2020/04/13;42;
2020/04/14;34;
2020/04/15;33;
2020/04/16;27;
2020/04/17;38;
2020/04/18;26;
2020/04/19;23;
2020/04/20;17;
2020/04/21;28;
2020/04/22;18;
2020/04/23;14;
2020/04/24;15;
2020/04/25;16;
2020/04/26;9;
2020/04/27;14;
2020/04/28;21;
2020/04/29;11;
2020/04/30;11;
2020/05/01;12;
2020/05/02;15;
2020/05/03;12;
2020/05/04;13;
2020/05/05;16;
2020/05/06;6;
2020/05/07;10;
2020/05/08;12;
2020/05/09;9;
2020/05/10;10;
2020/05/11;9;
2020/05/12;9;
2020/05/13;1;
2020/05/14;4;
2020/05/15;3;
2020/05/16;8;
2020/05/17;3;
2020/05/18;5;
2020/05/19;6;
2020/05/20;5;
2020/05/21;5;
2020/05/22;7;
2020/05/23;2;
2020/05/24;10;
2020/05/25;4;
2020/05/26;5;
2020/05/27;1;
2020/05/28;4;
2020/05/29;3;
2020/05/30;3;
2020/05/31;5;
2020/06/01;3;
2020/06/02;6;
2020/06/03;4;
2020/06/04;7;
2020/06/05;6;
2020/06/06;5;
2020/06/07;2;
2020/06/08;4;
2020/06/09;2;
2020/06/10;3;
2020/06/11;2;
2020/06/12;1;
2020/06/13;4;
2020/06/14;2;
2020/06/15;0;
2020/06/16;0;
2020/06/17;2;
2020/06/18;1;
2020/06/19;0;
2020/06/20;0;
2020/06/21;2;
2020/06/22;3;
2020/06/23;2;
2020/06/24;0;
2020/06/25;2;
2020/06/26;0;
2020/06/27;1;
2020/06/28;1;
2020/06/29;1;
2020/06/30;0;
2020/07/01;4;
2020/07/02;0;
2020/07/03;0;
2020/07/04;0;
2020/07/05;0;
2020/07/06;0;
2020/07/07;0;
2020/07/08;0;
2020/07/09;0;
2020/07/10;1;
2020/07/11;0;
2020/07/12;1;
2020/07/13;0;
2020/07/14;1;
2020/07/15;0;
2020/07/16;0;
2020/07/17;0;
2020/07/18;0;
2020/07/19;0;
2020/07/20;0;
2020/07/21;1;
2020/07/22;0;
2020/07/23;0;
2020/07/24;0;
2020/07/25;1;
2020/07/26;0;
2020/07/27;0;
2020/07/28;1;
2020/07/29;0;
2020/07/30;1;
2020/07/31;1;
2020/08/01;2;
2020/08/02;2;
2020/08/03;0;
2020/08/04;1;
2020/08/05;0;
2020/08/06;1;
2020/08/07;1;
2020/08/08;3;
2020/08/09;1;
2020/08/10;1;
2020/08/11;3;
2020/08/12;1;
2020/08/13;1;
2020/08/14;1;
2020/08/15;1;
2020/08/16;1;
2020/08/17;0;
2020/08/18;1;
2020/08/19;4;
2020/08/20;5;
2020/08/21;4;
2020/08/22;6;
2020/08/23;3;
2020/08/24;6;
2020/08/25;5;
2020/08/26;10;
2020/08/27;2;
2020/08/28;9;
2020/08/29;6;
2020/08/30;3;
2020/08/31;4;
2020/09/01;9;
2020/09/02;6;
2020/09/03;8;
2020/09/04;7;
2020/09/05;9;
2020/09/06;7;
2020/09/07;7;
2020/09/08;8;
2020/09/09;5;
2020/09/10;9;
2020/09/11;9;
2020/09/12;9;
